,num_qubits_simple_encoding,num_qubits_simple_encoding,num_qubits_simple_encoding,num_qubits_simple_encoding,num_qubits_simple_encoding,num_qubits_simple_encoding,num_qubits_simple_encoding,num_qubits_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,total_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,mcx_gates_simple_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,num_qubits_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,total_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding,mcx_gates_pattern_encoding
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
missing_cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,10000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10000.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,10000.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,10000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10000.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
2,10000.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0,10000.0,31.0,0.0,31.0,31.0,31.0,31.0,31.0,10000.0,44.0,0.0,44.0,44.0,44.0,44.0,44.0,10000.0,9.1865,3.610266077744854,2.0,11.0,11.0,11.0,11.0,10000.0,24.955,12.034220259149512,1.0,31.0,31.0,31.0,31.0,10000.0,36.9475,14.039923635674432,9.0,44.0,44.0,44.0,44.0
3,10000.0,28.0575,0.23280715177371952,28.0,28.0,28.0,28.0,29.0,10000.0,194.1075,32.82580840009446,186.0,186.0,186.0,186.0,327.0,10000.0,226.6025,38.878794346211166,217.0,217.0,217.0,217.0,384.0,10000.0,20.59,7.091017434249142,2.0,15.0,15.0,28.0,28.0,10000.0,109.2066,70.71434344089484,1.0,47.0,47.0,186.0,186.0,10000.0,130.2872,79.83336929408206,9.0,60.0,60.0,217.0,217.0
4,10000.0,40.7741,7.08844791187605,37.0,37.0,37.0,37.0,57.0,10000.0,490.8042,261.1263995884296,375.0,375.0,375.0,375.0,3396.0,10000.0,556.7945,285.071259568644,432.0,432.0,432.0,432.0,3802.0,10000.0,32.3176,7.288281151562035,2.0,36.0,36.0,36.0,37.0,10000.0,227.3333,99.9133888907686,1.0,250.0,250.0,250.0,567.0,10000.0,258.1082,112.47225388312157,9.0,281.0,281.0,281.0,624.0
5,10000.0,66.8906,2.769909543629175,66.0,66.0,66.0,67.0,90.0,10000.0,1389.0606,834.2819307414228,940.0,940.0,940.0,1554.0,7497.0,10000.0,1527.3158,909.7036266494677,1031.0,1031.0,1031.0,1712.0,8137.0,10000.0,43.1078,6.308990370570364,23.0,44.0,44.0,45.0,66.0,10000.0,368.3922,155.16868405451893,79.0,314.0,314.0,471.0,1324.0,10000.0,408.2174,169.34885072111962,92.0,345.0,345.0,528.0,1415.0
6,10000.0,82.4766,7.733914518752993,79.0,80.0,80.0,81.0,108.0,10000.0,3460.8801,2762.8152122995343,1698.0,2456.0,2456.0,3972.0,18795.0,10000.0,3785.848,2985.9419512826507,1856.0,2697.0,2697.0,4378.0,20383.0,10000.0,53.7675,7.120064134635875,27.0,52.0,53.0,53.0,79.0,10000.0,558.3332,302.31886617848505,95.0,378.0,567.0,567.0,2274.0,10000.0,607.9143,320.7207697308107,108.0,409.0,624.0,624.0,2432.0
7,10000.0,114.1039,13.776548338332494,92.0,93.0,122.0,123.0,128.0,10000.0,11547.5888,9220.968669886894,2648.0,4260.0,8585.0,13425.0,98974.0,10000.0,12473.9587,9982.402797150333,2889.0,4666.0,9225.0,14462.0,107653.0,10000.0,66.1779,11.52684425173865,31.0,61.0,61.0,61.0,92.0,10000.0,877.6788,605.9557170814269,111.0,663.0,663.0,663.0,4568.0,10000.0,940.4419,635.670158399321,124.0,720.0,720.0,720.0,4809.0
8,10000.0,140.6451,4.310336865070878,105.0,140.0,141.0,142.0,178.0,10000.0,36862.0032,28881.459426491074,4548.0,21035.0,31650.0,47215.0,281444.0,10000.0,39784.7987,31228.401126533365,4954.0,22623.0,34114.0,50993.0,301059.0,10000.0,82.3858,16.54745116850379,68.0,69.0,69.0,102.0,138.0,10000.0,1467.9926,1141.4678264520305,506.0,759.0,759.0,1900.0,15657.0,10000.0,1552.4346,1191.8694727220932,537.0,816.0,816.0,1991.0,16297.0
9,10000.0,167.4976,16.105947174675553,155.0,159.0,160.0,161.0,201.0,10000.0,153960.2712,142565.39951233772,15025.0,72900.0,108062.0,159393.0,925404.0,10000.0,165303.5216,152175.09638812262,16062.0,78616.0,116741.0,172476.0,990550.0,10000.0,104.4815,18.487997142844744,76.0,77.0,114.0,115.0,154.0,10000.0,2917.5693,2694.055689848209,570.0,855.0,2092.0,3426.0,22729.0,10000.0,3052.9597,2794.8368702643543,601.0,912.0,2183.0,3584.0,23369.0
10,10000.0,212.8924,16.5719487444452,174.0,218.0,220.0,221.0,225.0,10000.0,783107.8554,660734.5835822725,51759.0,304164.0,653768.0,957564.0,4344816.0,10000.0,836894.1278,707371.1257248188,55537.0,323779.0,697525.0,1022710.0,4656794.0,10000.0,129.7451,19.742388461891284,85.0,127.0,128.0,129.0,173.0,10000.0,7681.9442,9363.05476863969,951.0,3570.0,5336.0,9732.0,86050.0,10000.0,7972.8579,9646.253152602621,1008.0,3728.0,5577.0,10138.0,88514.0
11,10000.0,244.3289,2.1731076893939174,238.0,243.0,244.0,246.0,250.0,10000.0,4730609.4151,3905056.3664141768,315524.0,2108088.0,3072174.0,6509619.0,28953018.0,10000.0,5063760.5017,4189547.2988307397,335139.0,2251224.0,3283681.0,6969095.0,31082215.0,10000.0,171.2342,23.61339258960811,93.0,141.0,186.0,187.0,192.0,10000.0,37563.117,54229.33031625566,1047.0,9444.0,22185.0,35825.0,307998.0,10000.0,38714.5874,55809.95740141786,1104.0,9850.0,22825.0,36862.0,316677.0
12,10000.0,270.4698,6.028044599384549,261.0,269.0,270.0,272.0,325.0,10000.0,38719854.7195,34216756.5551655,1021884.0,20471397.0,29680938.0,62273556.0,472098891.0,10000.0,41502272.3698,36563534.4041604,1087030.0,21925398.0,31810135.0,66823089.0,501952544.0,10000.0,213.2597,26.533191608543696,101.0,205.0,206.0,207.0,268.0,10000.0,515028.1361,2048414.5773524519,1143.0,84450.0,129007.0,194500.0,43593309.0,10000.0,527720.3731,2095108.2071226458,1200.0,86914.0,132785.0,200216.0,44585129.0
13,10000.0,347.2147,9.332947781994182,292.0,348.0,348.0,350.0,353.0,10000.0,521467756.3116,373334148.87753755,63729396.0,333824112.0,333824112.0,695600352.0,2086049617.0,10000.0,553955080.5031,397042213.5886175,68278929.0,354351493.0,354351493.0,738984423.0,2218641048.0,10000.0,276.141,23.82129434784014,225.0,279.0,283.0,286.0,347.0,10000.0,28129096.5168,115009153.77380413,442401.0,1202382.0,5967288.0,19246819.0,720292171.0,10000.0,28716911.8936,117257897.2811028,455484.0,1231748.0,6110424.0,19706295.0,734395398.0
14,10000.0,380.6028,1.3245405243932993,379.0,379.0,381.0,381.0,383.0,10000.0,8900657060.891,4563890820.573503,4409284023.0,4409284023.0,9134811054.0,9134811054.0,18902110993.0,10000.0,9469464159.7696,4860006789.784596,4687643798.0,4687643798.0,9717884146.0,9717884146.0,20120964486.0,10000.0,342.1141,31.33905382776388,313.0,313.0,313.0,373.0,381.0,10000.0,5796176868.3226,10683195706.431297,275421321.0,275421321.0,283656681.0,1480121643.0,29374363566.0,10000.0,5911552818.3981,10894500911.602627,282061114.0,282061114.0,290296474.0,1509975296.0,29957436658.0
